Provinsi,Produk Domestik Regional Bruto per Kapita Atas Dasar Harga Berlaku (Ribu Rp)
Aceh,41408
Sumatera Utara,68306
Sumatera Barat,54334
Riau,154522
Jambi,79873
Sumatera Selatan,71958
Bengkulu,46301
Lampung,48188
Kepulauan Bangka Belitung,67813
Kepulauan Riau,154065
DKI Jakarta,322651
Jawa Barat,52651
Jawa Tengah,45162
DI Yogyakarta,48373
Jawa Timur,71122
Banten,66147
Bali,62299
Nusa Tenggara Barat,29926
Nusa Tenggara Timur,23079
Kalimantan Barat,48809
Kalimantan Tengah,75271
Kalimantan Selatan,63754
Kalimantan Timur,215804
Kalimantan Utara,201789
Sulawesi Utara,64131
Sulawesi Tengah,112461
Sulawesi Selatan,69710
Sulawesi Tenggara,64088
Gorontalo,42341
Sulawesi Barat,39547
Maluku,30455
Maluku Utara,64270
Papua Barat,108110
Papua Barat Daya,58450
Papua,78055
Papua Selatan,58581
Papua Tengah,103508
Papua Pegunungan,16870
,
Catatan,
 Perbedaan antara jumlah PDRB 34 Provinsi dan,
PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.,
