id,kode_provinsi,nama_provinsi,prevalensi_balita_stunting,satuan,tahun
101,91,PAPUA BARAT,24.8,PERSEN,2023
102,92,PAPUA BARAT DAYA,31.0,PERSEN,2023
103,94,PAPUA,28.6,PERSEN,2023
104,95,PAPUA SELATAN,25.0,PERSEN,2023
105,96,PAPUA TENGAH,39.4,PERSEN,2023
106,97,PAPUA PEGUNUNGAN,37.3,PERSEN,2023
107,11,ACEH,28.6,PERSEN,2024
108,12,SUMATERA UTARA,22.0,PERSEN,2024
109,13,SUMATERA BARAT,24.9,PERSEN,2024
110,14,RIAU,20.1,PERSEN,2024
111,15,JAMBI,17.1,PERSEN,2024
112,16,SUMATERA SELATAN,15.8,PERSEN,2024
113,17,BENGKULU,18.8,PERSEN,2024
114,18,LAMPUNG,15.9,PERSEN,2024
115,19,KEPULAUAN BANGKA BELITUNG,20.1,PERSEN,2024
116,21,KEPULAUAN RIAU,15.0,PERSEN,2024
117,31,DKI JAKARTA,17.2,PERSEN,2024
118,32,JAWA BARAT,15.9,PERSEN,2024
119,33,JAWA TENGAH,17.0,PERSEN,2024
120,34,DI YOGYAKARTA,17.4,PERSEN,2024
121,35,JAWA TIMUR,14.7,PERSEN,2024
122,36,BANTEN,21.1,PERSEN,2024
123,51,BALI,8.6,PERSEN,2024
124,52,NUSA TENGGARA BARAT,29.8,PERSEN,2024
125,53,NUSA TENGGARA TIMUR,37.0,PERSEN,2024
126,61,KALIMANTAN BARAT,26.8,PERSEN,2024
127,62,KALIMANTAN TENGAH,22.1,PERSEN,2024
128,63,KALIMANTAN SELATAN,22.9,PERSEN,2024
129,64,KALIMANTAN TIMUR,22.3,PERSEN,2024
130,65,KALIMANTAN UTARA,17.6,PERSEN,2024
131,71,SULAWESI UTARA,20.8,PERSEN,2024
132,72,SULAWESI TENGAH,26.1,PERSEN,2024
133,73,SULAWESI SELATAN,23.2,PERSEN,2024
134,74,SULAWESI TENGGARA,26.1,PERSEN,2024
135,75,GORONTALO,23.9,PERSEN,2024
136,76,SULAWESI BARAT,35.4,PERSEN,2024
137,81,MALUKU,28.3,PERSEN,2024
138,82,MALUKU UTARA,23.2,PERSEN,2024
139,91,PAPUA BARAT,24.7,PERSEN,2024
140,92,PAPUA BARAT DAYA,30.5,PERSEN,2024
141,94,PAPUA,24.7,PERSEN,2024
142,95,PAPUA SELATAN,25.7,PERSEN,2024
143,96,PAPUA TENGAH,0.0,PERSEN,2024
144,97,PAPUA PEGUNUNGAN,0.0,PERSEN,2024
