id,kode_provinsi,nama_provinsi,rata_rata_lama_sekolah,satuan,tahun
475,91,PAPUA BARAT,7.93,TAHUN,2023
476,94,PAPUA,7.15,TAHUN,2023
477,11,ACEH,9.64,TAHUN,2024
478,12,SUMATERA UTARA,9.93,TAHUN,2024
479,13,SUMATERA BARAT,9.44,TAHUN,2024
480,14,RIAU,9.43,TAHUN,2024
481,15,JAMBI,8.9,TAHUN,2024
482,16,SUMATERA SELATAN,8.57,TAHUN,2024
483,17,BENGKULU,9.04,TAHUN,2024
484,18,LAMPUNG,8.36,TAHUN,2024
485,19,KEPULAUAN BANGKA BELITUNG,8.33,TAHUN,2024
486,21,KEPULAUAN RIAU,10.5,TAHUN,2024
487,31,DKI JAKARTA,11.49,TAHUN,2024
488,32,JAWA BARAT,8.87,TAHUN,2024
489,33,JAWA TENGAH,8.02,TAHUN,2024
490,34,DI YOGYAKARTA,9.92,TAHUN,2024
491,35,JAWA TIMUR,8.28,TAHUN,2024
492,36,BANTEN,9.23,TAHUN,2024
493,51,BALI,9.54,TAHUN,2024
494,52,NUSA TENGGARA BARAT,7.87,TAHUN,2024
495,53,NUSA TENGGARA TIMUR,8.02,TAHUN,2024
496,61,KALIMANTAN BARAT,7.78,TAHUN,2024
497,62,KALIMANTAN TENGAH,8.81,TAHUN,2024
498,63,KALIMANTAN SELATAN,8.62,TAHUN,2024
499,64,KALIMANTAN TIMUR,10.02,TAHUN,2024
500,65,KALIMANTAN UTARA,9.35,TAHUN,2024
501,71,SULAWESI UTARA,9.84,TAHUN,2024
502,72,SULAWESI TENGAH,9.04,TAHUN,2024
503,73,SULAWESI SELATAN,8.86,TAHUN,2024
504,74,SULAWESI TENGGARA,9.42,TAHUN,2024
505,75,GORONTALO,8.29,TAHUN,2024
506,76,SULAWESI BARAT,8.15,TAHUN,2024
507,81,MALUKU,10.26,TAHUN,2024
508,82,MALUKU UTARA,9.37,TAHUN,2024
509,91,PAPUA BARAT,7.86,TAHUN,2024
510,92,PAPUA BARAT DAYA,8.39,TAHUN,2024
511,94,PAPUA,9.82,TAHUN,2024
512,95,PAPUA SELATAN,8.38,TAHUN,2024
513,96,PAPUA TENGAH,6.12,TAHUN,2024
514,97,PAPUA PEGUNUNGAN,4.21,TAHUN,2024
