Provinsi,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Aceh,541109,...,834.24,...,15.33,...
Sumatera Utara,525756,...,1343.86,...,9.01,...
Sumatera Barat,568703,...,370.67,...,6.63,...
Riau,565937,...,500.81,...,7.12,...
Jambi,506355,...,293.86,...,8.09,...
Sumatera Selatan,457455,...,1113.76,...,12.84,...
Bengkulu,548934,...,306,...,15.22,...
Lampung,471439,...,1083.93,...,12.62,...
Kepulauan Bangka Belitung,752203,...,72.71,...,4.9,...
Kepulauan Riau,642425,...,144.46,...,6.12,...
DKI Jakarta,697638,...,501.92,...,4.72,...
Jawa Barat,427402,...,4195.34,...,8.4,...
Jawa Tengah,409193,...,4109.75,...,11.79,...
DI Yogyakarta,482855,...,506.45,...,12.8,...
Jawa Timur,429133,...,4572.73,...,11.4,...
Banten,530363,...,867.23,...,6.66,...
Bali,452221,...,201.97,...,4.53,...
Nusa Tenggara Barat,423505,...,746.66,...,14.14,...
Nusa Tenggara Timur,415116,...,1169.31,...,20.99,...
Kalimantan Barat,483454,...,367.89,...,7.15,...
Kalimantan Tengah,506982,...,140.04,...,5.16,...
Kalimantan Selatan,519150,...,208.11,...,4.83,...
Kalimantan Timur,689035,...,241.77,...,6.54,...
Kalimantan Utara,710994,...,52.86,...,7.36,...
Sulawesi Utara,410805,...,196.35,...,7.77,...
Sulawesi Tengah,496872,...,404.44,...,13,...
Sulawesi Selatan,372491,...,784.98,...,8.78,...
Sulawesi Tenggara,378589,...,318.7,...,11.66,...
Gorontalo,389827,...,186.29,...,15.61,...
Sulawesi Barat,364251,...,157.19,...,11.29,...
Maluku,587730,...,321.81,...,17.87,...
Maluku Utara,489375,...,87.16,...,6.89,...
Papua Barat,631418,...,219.07,...,21.84,...
Papua,591959,...,920.44,...,26.86,...
Indonesia,472525,...,27542.77,...,10.14,...
