Provinsi,Produk Domestik Regional Bruto per Kapita Atas Dasar Harga Berlaku (Ribu Rp)
Aceh,38767
Sumatera Utara,62922
Sumatera Barat,50264
Riau,151259
Jambi,76224
Sumatera Selatan,68239
Bengkulu,43757
Lampung,44982
Kepulauan Bangka Belitung,63866
Kepulauan Riau,145530
DKI Jakarta,299675
Jawa Barat,49137
Jawa Tengah,41934
DI Yogyakarta,44639
Jawa Timur,66248
Banten,61414
Bali,56093
Nusa Tenggara Barat,28671
Nusa Tenggara Timur,21658
Kalimantan Barat,46092
Kalimantan Tengah,72973
Kalimantan Selatan,60213
Kalimantan Timur,238917
Kalimantan Utara,192588
Sulawesi Utara,59021
Sulawesi Tengah,106068
Sulawesi Selatan,65353
Sulawesi Tenggara,58715
Gorontalo,39691
Sulawesi Barat,37034
Maluku,28537
Maluku Utara,53776
Papua Barat,78141
Papua Barat Daya,...
Papua,59384
Papua Selatan,...
Papua Tengah,...
Papua Pegunungan,...
