38 Provinsi,
,Persentase Rumah Tangga menurut Provinsi dan Memiliki Akses terhadap Sanitasi Layak (Persen)
,2022
ACEH,77.48
SUMATERA UTARA,82.3
SUMATERA BARAT,69.27
RIAU,84.06
JAMBI,79.54
SUMATERA SELATAN,78.62
BENGKULU,79.58
LAMPUNG,83.65
KEP. BANGKA BELITUNG,91.63
KEP. RIAU,87.74
DKI JAKARTA,92.79
JAWA BARAT,74.02
JAWA TENGAH,84.37
DI YOGYAKARTA,96.21
JAWA TIMUR,81.13
BANTEN,85.12
BALI,95.94
NUSA TENGGARA BARAT,83.12
NUSA TENGGARA TIMUR,73.7
KALIMANTAN BARAT,77.41
KALIMANTAN TENGAH,74.33
KALIMANTAN SELATAN,82.55
KALIMANTAN TIMUR,90.33
KALIMANTAN UTARA,82.22
SULAWESI UTARA,84.05
SULAWESI TENGAH,75.01
SULAWESI SELATAN,92.24
SULAWESI TENGGARA,87.07
GORONTALO,79.82
SULAWESI BARAT,78.88
MALUKU,76.47
MALUKU UTARA,79.39
PAPUA BARAT,73.52
PAPUA BARAT DAYA,-
PAPUA,40.34
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,80.92
