Provinsi,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Aceh,579227,...,806.82,...,14.64,...
Sumatera Utara,561004,...,1268.19,...,8.42,...
Sumatera Barat,610941,...,335.21,...,5.92,...
Riau,605912,...,485.03,...,6.78,...
Jambi,545870,...,279.37,...,7.62,...
Sumatera Selatan,485069,...,1044.69,...,11.9,...
Bengkulu,590754,...,297.23,...,14.62,...
Lampung,514039,...,1002.41,...,11.57,...
Kepulauan Bangka Belitung,801437,...,66.78,...,4.45,...
Kepulauan Riau,684070,...,151.68,...,6.24,...
DKI Jakarta,738955,...,502.04,...,4.69,...
Jawa Barat,452580,...,4070.98,...,8.06,...
Jawa Tengah,438833,...,3831.44,...,10.93,...
DI Yogyakarta,521673,...,454.76,...,11.34,...
Jawa Timur,460909,...,4181.29,...,10.38,...
Banten,570368,...,814.02,...,6.16,...
Bali,485022,...,205.69,...,4.57,...
Nusa Tenggara Barat,459826,...,731.94,...,13.68,...
Nusa Tenggara Timur,460823,...,1131.62,...,20.05,...
Kalimantan Barat,520660,...,350.25,...,6.73,...
Kalimantan Tengah,548816,...,145.1,...,5.28,...
Kalimantan Selatan,553073,...,195.7,...,4.49,...
Kalimantan Timur,728208,...,236.25,...,6.31,...
Kalimantan Utara,772914,...,49.46,...,6.77,...
Sulawesi Utara,427016,...,185.14,...,7.28,...
Sulawesi Tengah,530251,...,388.36,...,12.33,...
Sulawesi Selatan,399755,...,777.44,...,8.63,...
Sulawesi Tenggara,404137,...,309.79,...,11.17,...
Gorontalo,411906,...,185.44,...,15.42,...
Sulawesi Barat,405187,...,165.72,...,11.75,...
Maluku,631326,...,290.57,...,15.97,...
Maluku Utara,514383,...,79.88,...,6.23,...
Papua Barat,665604,...,218.78,...,21.33,...
Papua Barat Daya,...,...,...,...,...,...
Papua,629175,...,922.12,...,26.56,...
Papua Selatan,...,...,...,...,...,...
Papua Tengah,...,...,...,...,...,...
Papua Pegunungan,...,...,...,...,...,...
Indonesia,505,...,26161.16,...,9.54,...
,,,,,,
Catatan,,,,,,
-,,,,,,
