Provinsi,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Aceh,661227,665855,804.53,718.96,14.23,12.64
Sumatera Utara,642423,648336,1228.01,1110.92,7.99,7.19
Sumatera Barat,708416,714991,345.73,315.43,5.97,5.42
Riau,697296,702620,492.25,473.04,6.67,6.36
Jambi,650115,658100,265.42,272.7,7.1,7.26
Sumatera Selatan,554197,564462,984.24,948.84,10.97,10.51
Bengkulu,671095,672816,281.36,261.15,13.56,12.52
Lampung,586551,599018,941.23,939.3,10.69,10.62
Kepulauan Bangka Belitung,908397,917673,69.95,78.58,4.55,5.08
Kepulauan Riau,787211,807602,138.3,124.96,5.37,4.78
DKI Jakarta,825288,846085,464.93,449.07,4.3,4.14
Jawa Barat,524052,535509,3848.67,3668.35,7.46,7.08
Jawa Tengah,507001,521093,3704.33,3396.34,10.47,9.58
DI Yogyakarta,602437,613370,445.55,430.47,10.83,10.4
Jawa Timur,536122,547751,3982.69,3893.82,9.79,9.56
Banten,654213,667403,791.61,777.49,5.84,5.7
Bali,568510,580306,184.43,176.21,4,3.8
Nusa Tenggara Barat,534703,540339,709.01,658.6,12.91,11.91
Nusa Tenggara Timur,527275,533944,1127.57,1107.94,19.48,19.02
Kalimantan Barat,595509,611320,336.08,333.99,6.32,6.25
Kalimantan Tengah,623954,641524,145.63,149.24,5.17,5.26
Kalimantan Selatan,632739,644107,183.31,180.2,4.11,4.02
Kalimantan Timur,833955,853997,221.34,211.88,5.78,5.51
Kalimantan Utara,854294,876375,47.83,41.11,6.32,5.38
Sulawesi Utara,490719,511710,186.86,173.3,7.25,6.7
Sulawesi Tengah,600872,608687,379.76,358.33,11.77,11.04
Sulawesi Selatan,459226,467991,736.48,711.77,8.06,7.77
Sulawesi Tenggara,462715,473343,319.71,305.27,11.21,10.63
Gorontalo,473006,487578,177.99,170.03,14.57,13.87
Sulawesi Barat,454879,460283,162.19,155.91,11.21,10.71
Maluku,713503,739818,297.68,293.99,16.05,15.78
Maluku Utara,604460,639337,83.09,79.69,6.32,6.03
Papua Barat,793804,816613,110.16,108.28,21.66,21.09
Papua Barat Daya,756237,791570,102.27,96.81,18.13,16.95
Papua,674371,708811,152.91,161.07,17.26,18.09
Papua Selatan,519979,...,92.2,...,17.44,19.35
Papua Tengah,764115,...,308.48,...,29.76,27.6
Papua Pegunungan,1007060,...,365.44,...,32.97,29.66
Indonesia,582932,595242,25219.2,24054.72,9.03,8.57
